id;content;user_id;date;article_id;direct_parent_id;internal_id;outlet;outlet2;type;type2;length;words;no_thread;no_replies
23;Depuis leur manoeuvre pour évincer Salvini, ce sont les mêmes qu'en France qui sont au pouvoir. Même motif, même punition !;valeurs_actuelles_user_55;2020-05-19 01:04:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_759;valeursactuelles;11;comment;2;123;20;1;
24;https://www.valeursactuelles.com/societe/migrants-clandestins-le-maire-de-brest-deplore-la-lenteur-de-la-justice-119441?page=0;;2020-05-17 15:44:49;r1_valeurs_actuelles_article_77;;r1_valeurs_actuelles_article_77;valeursactuelles;11;article;1;1866;305;0;
25;RN 2020 !;valeurs_actuelles_user_66;2020-05-18 21:37:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1117;valeursactuelles;11;comment;2;9;2;5;
26;La justice n'est lente que pour la racaille, les clandestins, les voyous. Pas pour les policiers, les patriotes, les Français. Il faut virer hors du pays toute cette population de parasites.;valeurs_actuelles_user_1;2020-05-18 10:13:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1118;valeursactuelles;11;comment;2;190;30;4;
27;"La Bretagne vote massivement à gauche toute depuis toujours. Que ses habitants assument leur choix de ""société"".";valeurs_actuelles_user_7;2020-05-18 09:05:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1119;valeursactuelles;11;comment;2;112;16;3;
28;Il ne faut pas les juger mais les virer et fermer les frontières...;valeurs_actuelles_user_82;2020-05-18 00:38:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1120;valeursactuelles;11;comment;2;67;12;2;
29;C'est tous les jours que l'on constate les ravages de cette immigration invasive et sauvage. Ce sera certainement le sujet sur lequel Monarc 1er risque de se casser les dents en 2022. La délinquance exponentielle non jugulée, l'immigration clandestine sans retenue. La racaille a tous les droits, c'est la faute de la société comme le disait Jospin. Avril 2002. Avril 2020 ??? TSM;valeurs_actuelles_user_64;2020-05-17 18:14:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1121;valeursactuelles;11;comment;2;380;62;1;
30;les clandestins savent qu'ils ont tout intérêt à rester sur le territoire : au bout de 5 ans il perçoivent toutes les allocations.;valeurs_actuelles_user_59;2020-05-17 18:52:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1121;r1_valeurs_actuelles_comment_1122;valeursactuelles;11;reply;3;130;22;1;1
31;Avril 2022 of course. TSM;valeurs_actuelles_user_64;2020-05-17 18:29:00;r1_valeurs_actuelles_article_77;r1_valeurs_actuelles_comment_1121;r1_valeurs_actuelles_comment_1123;valeursactuelles;11;reply;3;25;4;1;2
32;https://www.valeursactuelles.com/societe/deconfinement-vers-une-explosion-des-flux-de-migrants-en-europe-119403?page=0;;2020-05-15 18:42:34;r1_valeurs_actuelles_article_128;;r1_valeurs_actuelles_article_128;valeursactuelles;11;article;1;2144;320;0;
33;Je crains que cette lame soit plus dangereuse que le virus mais nous sommes tranquilles macronavirus veille....;valeurs_actuelles_user_4;2020-05-17 08:38:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1831;valeursactuelles;11;comment;2;111;16;5;
34;"Parce que les ""établissements offrant des services sexuels"" ne sont pas des exploitants de pratiques sexuelles rémunérées ?? Est-ce là que nous manquons de main-d'œuvre ? Pauvre France ! quand aurons-nous atteint le fond de l'abîme ?...";valeurs_actuelles_user_95;2020-05-16 12:12:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1832;valeursactuelles;11;comment;2;236;36;4;
35;Oui, il n'y aura pas de 'deuxième vague' covid-19, mais il y aura un nouveau tsunami de migrants ! C'est bien pire.;valeurs_actuelles_user_52;2020-05-16 10:01:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1833;valeursactuelles;11;comment;2;115;21;3;
36;On croit rêver...ou halluciner...ou cauchemarder ... quand on lit cet encart! Surtout la fin, sur la fermeture des établissements réglementés offrant des services sexuels! Non mais allô quoi... on a rétabli officiellement les maisons closes pour des affolés de la braguette et qui n’ont rien d’autre à ce mettre sous la dent que les jeunes gars qui parfois les accompagnent! Rien qu’à voir la photo, on voit bien que seuls les individus sont en pleine force de l’âge et qu’aucune compagne ne les accompagne! Et donc... c’est le bordel ... ou autre!;valeurs_actuelles_user_213;2020-05-16 09:59:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1834;valeursactuelles;11;comment;2;548;91;2;
37;"Oui, on hallucine avec ""les services sexuels"" proposés. Qui sont ces migrants devant lesquels l'europe se met ainsi à genoux ? De vulgaires délinquants non-intégrables qui profitent de notre humanisme bidon et toxique. Pourtant, ce sont les 'vaches sacrées' de nos pays de chrétiens blancs.";valeurs_actuelles_user_52;2020-05-16 10:09:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1834;r1_valeurs_actuelles_comment_1835;valeursactuelles;11;reply;3;290;44;2;1
38;C est pour cette raison que la loi Avia a été votée, deux millions de nouveaux chômeurs n accepteront pas de voir des migrants obtenir des allocs, des logements, des cartes bancaires, des cartes sécu, alors qu eux auront tout perdu à cause d une mondialisation, la crise sociale sera terrible, la France ne peut plus payer les dépenses somptuaires concernant l immigration, les nouveaux pauvres vont se révolter, leurs cris de révolte devront donc être stoppés par la loi Avia, les patriotes devront trouver un moyen de la contourner;valeurs_actuelles_user_65;2020-05-15 22:52:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1836;valeursactuelles;11;comment;2;533;89;1;
39;Vous avez parfaitement raison. giton 1er l'infâme baillonne le juste courroux des français. On trouvera un moyen, comme vous dîtes, la nature ayant horreur du vide.;valeurs_actuelles_user_52;2020-05-16 10:03:00;r1_valeurs_actuelles_article_128;r1_valeurs_actuelles_comment_1836;r1_valeurs_actuelles_comment_1837;valeursactuelles;11;reply;3;164;25;1;1
40;https://www.valeursactuelles.com/societe/coronavirus-une-centaine-de-bebes-nes-de-gpa-bloques-en-ukraine-119393?page=0;;2020-05-15 14:46:35;r1_valeurs_actuelles_article_133;;r1_valeurs_actuelles_article_133;valeursactuelles;11;article;1;2837;452;0;
41;Qu'ils y restent. Rappelons que la GPA est interdite en France. Même si Fogiel se vante d'avoir acheté ses 2 filles aux USA, et avoir réussi à les faire inscrire à l'état-civil -merci Taubira. La GPA doit rester une interdiction, et personne n'a le pouvoir de changer cette loi (à part les serviles amis de l'enfumeur de l'Elysée).;valeurs_actuelles_user_1;2020-05-16 13:41:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1887;valeursactuelles;11;comment;2;331;57;7;
42;"Le commerce des naissances... c'est pour éviter de dire ""le commerce des bébés""?";valeurs_actuelles_user_21;2020-05-15 21:04:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1888;valeursactuelles;11;comment;2;80;12;6;
43;Amazone, au secours, il y a des livraisons à faire !;valeurs_actuelles_user_317;2020-05-15 19:23:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1889;valeursactuelles;11;comment;2;52;10;5;
44;Excellent !;valeurs_actuelles_user_64;2020-05-15 19:26:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1889;r1_valeurs_actuelles_comment_1890;valeursactuelles;11;reply;3;11;1;5;1
45;Qu'ils restent où ils sont . Mais il est évident que la tendance de la justice française à régulariser l'état civil de cette marchandise humaine lors de son arrivée en France , est un encouragement pour cette pratique esclavagiste.;valeurs_actuelles_user_172;2020-05-15 18:32:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1891;valeursactuelles;11;comment;2;231;38;4;
46;.... sauf que ce seront des citoyens français ... certainement plus apte à défendre les valeurs de leur pays d'adoption ... face à ces salauds d'immigrés arabes soutenus par ce gouvernement de vendus . Peut-être seront ils finalement le salut de la France ... va savoir ! Les pays de l'Est ont un culture chrétienne .. et ne la renient pas , eux .;valeurs_actuelles_user_56;2020-05-16 10:40:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1891;r1_valeurs_actuelles_comment_1892;valeursactuelles;11;reply;3;347;63;4;1
47;Mais non, voyons, Mère Taubira a institué une journée de commémoration de la FIN de l'esclavage. Un scandale la GPA. Il est vrai qu'un certain Pierre Bergé (homo jusqu'à la moelle) a dit qu'une femme peut louer son ventre. Sa mère doit se retourner dans sa tombe, hélas.;valeurs_actuelles_user_64;2020-05-15 19:29:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1891;r1_valeurs_actuelles_comment_1893;valeursactuelles;11;reply;3;270;47;4;2
48;2 bébés ukrainiens pour le prix d’un nord américain. Et vous avez en plus mesdames et messieurs pour un euro de plus un landeau , 3 paquets de couches , 2 bonnets péruviens..;valeurs_actuelles_user_151;2020-05-15 17:55:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1894;valeursactuelles;11;comment;2;174;32;3;
49;C'est dur ce que vous dites , d'autant que les pays de l'Est ne proposent qu'à des couples hétéros . Maintenant , si nous avons deux bébés ukrainiens , nés dans un pays chrétien pour contrer une seule naissance arabo-envahisseuse ... je ne dis pas non .;valeurs_actuelles_user_56;2020-05-16 10:45:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1894;r1_valeurs_actuelles_comment_1895;valeursactuelles;11;reply;3;253;46;3;1
50;« Seul bémol (sic) pour les entreprises ukrainiennes : la législation limite le recours à la GPA aux seuls couples hétérosexuels et infertiles. » Bémol ?... Ce serait plutôt un « dièze », car l’enfant n’a-t-il pas le droit à un père et une mère ? N’allons pas pleurer sur ce business : 40-60k€ le « pack VIP (sic) » — plutôt VIBaby ? Avec mille naissances GPA pour 2 mois de confinement, ça fait quand même 40-60 M€ de recettes, soit 250-350 M€/an, peut-être 0,5 Mld€ pour le commerce local.;valeurs_actuelles_user_41;2020-05-15 17:48:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1896;valeursactuelles;11;comment;2;491;90;2;
51;"C'est exact , d'autant que je préfère deux bébés ukrainiens pour contrer une naissance arabo-sournoise envahisseuse ... les ukrainiens étant de confession chrétienne . Infertiles , nous nous sommes vus mon épouse et moi refuser un agrément pour deux petites bulgares , avec dans la gueule , y'a pas d'autre terme , un cinglant ""l'enfant n'est pas un droit""... mais d'avoir un père et une mère , si bande de salopards . Qu'ils aillent donc balayer devant leurs portes lorsqu'on sait que sur 150 000 enfants placés , 75 000 n'auraient jamais du l'être";valeurs_actuelles_user_56;2020-05-16 10:56:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1896;r1_valeurs_actuelles_comment_1897;valeursactuelles;11;reply;3;549;93;2;1
52;la suite à 10h45 .... sucrée ....étonnant !;valeurs_actuelles_user_56;2020-05-16 11:04:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1897;r1_valeurs_actuelles_comment_1898;valeursactuelles;11;reply;3;43;7;2;2
53;"suite ..; source Pierre Naves (sur internet) , rapporteur de la commission aux affaires sociales 1998 ...... : ça rapporte aux foyers d'accueil les subventions ... sans compter les ""rémunérations"" que touchent les tuteurs par enfant . Le monde est bien fait , non ?";valeurs_actuelles_user_56;2020-05-16 10:58:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1897;r1_valeurs_actuelles_comment_1899;valeursactuelles;11;reply;3;265;44;2;3
54;"C'est exact , d'autant que je préfère deux bébés ukrainiens pour contrer une naissance arabo-sournoise envahisseuse ... les ukrainiens étant de confession chrétienne . Infertiles , nous nous sommes vus mon épouse et moi refuser un agrément pour deux petites bulgares , avec dans la gueule , y'a pas d'autre terme , un cinglant ""l'enfant n'est pas un droit""... mais d'avoir un père et une mère , si bande de salopards . Qu'ils aillent donc balayer devant leurs portes lorsqu'on sait que sur 150 000 enfants placés , 75 000 n'auraient jamais du l'être";valeurs_actuelles_user_56;2020-05-16 11:02:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1899;r1_valeurs_actuelles_comment_1900;valeursactuelles;11;reply;3;549;93;2;4
55;Mrd€;valeurs_actuelles_user_41;2020-05-15 17:51:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1896;r1_valeurs_actuelles_comment_1901;valeursactuelles;11;reply;3;4;0;2;5
56;C'est une bonne chose que la fermeture des frontières. Si ca peut bloquer ce commerce dégeulasse..... et hors la loi en France!!!;valeurs_actuelles_user_249;2020-05-15 17:38:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1902;valeursactuelles;11;comment;2;129;21;1;
57;Pas si hors la loi que ça puisque les 2 homo de la TV ont pu faire des émissions, des bouquins pour faire la promo de leurs filles obtenues moyennant finances aux USA.;valeurs_actuelles_user_64;2020-05-15 19:30:00;r1_valeurs_actuelles_article_133;r1_valeurs_actuelles_comment_1902;r1_valeurs_actuelles_comment_1903;valeursactuelles;11;reply;3;167;32;1;1
58;https://www.valeursactuelles.com/faits-divers/le-president-dune-association-pro-migrants-assassine-apres-avoir-heberge-un-refugie-afghan-119234?page=0;;2020-05-12 18:14:34;r1_valeurs_actuelles_article_270;;r1_valeurs_actuelles_article_270;valeursactuelles;11;article;1;1440;239;0;
59;Parfois , le diable porte pierre . Ces collabos de l'immigration sont des ennemis de la France.;valeurs_actuelles_user_172;2020-05-13 18:51:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2666;valeursactuelles;11;comment;2;95;16;17;
60;Une chance pour la France mais pas pour lui...;valeurs_actuelles_user_159;2020-05-13 13:45:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2667;valeursactuelles;11;comment;2;46;8;16;
61;Qui sème le vent récolte la tempête !! Information à faire circuler dans tous les milieux pro-migrants Paix à son âme malgré tout;valeurs_actuelles_user_203;2020-05-13 13:11:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2668;valeursactuelles;11;comment;2;129;22;15;
62;C'est l'histoire insolite mais vraie d'une dame ayant adopté un petit boa. Le boa était bien traité et grandissait. Puis, un jour, il a refusé de manger. Au bout de deux ou trois jours, madame est allé consulter un vétérinaire. Diagnostic : cet animal se laisse affamer pour pouvoir s'attaquer à vous. Si vous voulez rester en vie, faites-le piquer, et vite. Ce qu'elle fit. Tous ne sont pas aussi prévoyants, hélas.;valeurs_actuelles_user_95;2020-05-13 11:32:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2669;valeursactuelles;11;comment;2;416;71;14;
63;Ce migrant afghan n'avait pas les codes. Il serait indécent de la part de la famille du défunt de porter plainte et de poursuivre ce précieux jeune.;valeurs_actuelles_user_182;2020-05-13 10:52:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2670;valeursactuelles;11;comment;2;148;26;13;
64;C'est une chance pour la France, les migrants illégaux, sauf quand tu es tué !!!;valeurs_actuelles_user_60;2020-05-13 10:03:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2671;valeursactuelles;11;comment;2;80;14;12;
65;T'y cherches ,t'y trouves !;valeurs_actuelles_user_211;2020-05-13 09:37:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2672;valeursactuelles;11;comment;2;27;4;11;
66;Il était donc hors la loi ? Quelqu'un s'est chargé de le lui rappeler.;valeurs_actuelles_user_1;2020-05-13 09:09:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2673;valeursactuelles;11;comment;2;70;13;10;
67;Peut être que la barre de fer en question ......???;valeurs_actuelles_user_302;2020-05-13 08:38:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2674;valeursactuelles;11;comment;2;51;9;9;
68;"Je viens de me faire supprimer un commentaire car je signalais qu'ici en RFA ou j'habite certains ""vieux Messieurs"" à la retraite originaire du pays de Bade, se promène amoureusement avec des jeunes Personnes originaires de pays musulmans ou africains. Que ces jeunes un jour en ont mare, et veulent vivre du changement et quitter leur ""bienfaiteurs"", ces retraités savent à quoi ils s'exposent !";valeurs_actuelles_user_352;2020-05-13 08:12:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2675;valeursactuelles;11;comment;2;396;64;8;
69;"L' ""humanisme"" a ses limites...";valeurs_actuelles_user_339;2020-05-13 08:48:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2675;r1_valeurs_actuelles_comment_2676;valeursactuelles;11;reply;3;31;4;8;1
70;"Les migrants étant quasi tous masculins, on comprend l'intérêt de ces ""jeunes personnes"" dont vous parlez. La RFA n'st pas épargnée.....";valeurs_actuelles_user_182;2020-05-13 08:19:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2675;r1_valeurs_actuelles_comment_2677;valeursactuelles;11;reply;3;136;20;8;2
71;La maison est déjà occupée par des locataires qu'on ne pourra pas déloger. Allah est grand. Au suivant ! Au suivant !;valeurs_actuelles_user_20;2020-05-13 07:41:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2678;valeursactuelles;11;comment;2;117;21;7;
72;Tous les français se retrouvent en position d’hébergeurs contre leur volonté grâce à nos dirigeants , et beaucoup de français ont déjà été assassinés sur leur sol...;valeurs_actuelles_user_457;2020-05-13 07:13:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2679;valeursactuelles;11;comment;2;165;26;6;
73;Ohhhhhhhhhhhhhhhh, je pleure.;valeurs_actuelles_user_176;2020-05-13 07:08:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2680;valeursactuelles;11;comment;2;29;2;5;
74;De quoi ..?;valeurs_actuelles_user_302;2020-05-13 08:43:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2680;r1_valeurs_actuelles_comment_2681;valeursactuelles;11;reply;3;11;2;5;1
75;"Combien de ""généreux hébergeurs"" ont déjà été tués par leur(s) migrant(s) ? Leur nombre grossit de jour en jour, surtout en Allemagne. Dramatique; mais il est difficile de pleurer ces gauchistes qui favorisent l'envahisseur...";valeurs_actuelles_user_116;2020-05-13 02:03:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2682;valeursactuelles;11;comment;2;226;33;4;
76;Mets-toi donc çà dans le crâne !!! lui a dit le migrant .;valeurs_actuelles_user_87;2020-05-12 23:52:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2683;valeursactuelles;11;comment;2;57;12;3;
77;Si ce tragique événement pouvait ouvrir les yeux des pro immigration !;valeurs_actuelles_user_82;2020-05-12 23:22:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2684;valeursactuelles;11;comment;2;70;11;2;
78;Pourquoi illustrer cet article avec la photo d'un policier vu de dos ? Pourquoi pas une photo de la mairie ou de l'église ou la carte du département ?;valeurs_actuelles_user_170;2020-05-12 21:48:00;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_article_270;r1_valeurs_actuelles_comment_2685;valeursactuelles;11;comment;2;150;28;1;
