"id";"annotator";"c_usmod";"c_mod1";"c_mod0";"c_refc";"c_topic";"c_amp";"c_act";"c_act_1a";"c_act_1a_mark";"c_act_1b";"c_act_1b_mark";"c_act_2a";"c_act_2a_mark";"c_act_2b";"c_act_3a";"c_act_3a_mark";"c_act_3b";"c_contr";"c_emo_1";"c_emo_1_mark";"c_emo_2a";"c_emo_2a_mark";"c_emo_2b";"c_emo_3";"c_ne_1_0";"c_ne_1_1";"c_ne_1_2";"c_ne_1_3";"c_ne_1_4";"c_ne_2_0";"c_ne_2_1";"c_ne_2_2";"c_ne_2_3";"c_ne_2_4";"c_ne_2_mark_0";"c_ne_2_mark_1";"c_ne_2_mark_2";"c_ne_2_mark_3";"c_ne_2_mark_4";"c_ne_3_0";"c_ne_3_1";"c_ne_3_2";"c_ne_3_3";"c_ne_3_4";"c_ne_4_0";"c_ne_4_1";"c_ne_4_2";"c_ne_4_3";"c_ne_4_4";"c_ne_4_mark_0";"c_ne_4_mark_1";"c_ne_4_mark_2";"c_ne_4_mark_3";"c_ne_4_mark_4";"c_ne_5_0";"c_ne_5_1";"c_ne_5_2";"c_ne_5_3";"c_ne_5_4";"c_ne_5_mark_0";"c_ne_5_mark_1";"c_ne_5_mark_2";"c_ne_5_mark_3";"c_ne_5_mark_4";"c_ne_6_0";"c_ne_6_1";"c_ne_6_2";"c_ne_6_3";"c_ne_6_4";"c_ne_7_0";"c_ne_7_1";"c_ne_7_2";"c_ne_7_3";"c_ne_7_4";"c_pe_1_0";"c_pe_1_1";"c_pe_1_2";"c_pe_1_3";"c_pe_2_0";"c_pe_2_1";"c_pe_2_2";"c_pe_2_3";"c_pe_2_mark_0";"c_pe_2_mark_1";"c_pe_2_mark_2";"c_pe_2_mark_3";"c_pe_3_0";"c_pe_3_1";"c_pe_3_2";"c_pe_3_3";"c_pe_4_0";"c_pe_4_1";"c_pe_4_2";"c_pe_4_3";"c_pe_4_mark_0";"c_pe_4_mark_1";"c_pe_4_mark_2";"c_pe_4_mark_3";"c_pe_5_0";"c_pe_5_1";"c_pe_5_2";"c_pe_5_3";"c_act_0";"c_act_1";"c_act_2";"c_act_3";"c_act_1a_0";"c_act_1a_1";"c_act_1a_2";"c_act_1a_3";"c_act_1a_mark_0";"c_act_1a_mark_1";"c_act_1a_mark_2";"c_act_1a_mark_3";"c_act_1b_0";"c_act_1b_1";"c_act_1b_2";"c_act_1b_3";"c_act_1b_mark_0";"c_act_1b_mark_1";"c_act_1b_mark_2";"c_act_1b_mark_3";"c_act_2a_0";"c_act_2a_1";"c_act_2a_2";"c_act_2a_3";"c_act_2a_mark_0";"c_act_2a_mark_1";"c_act_2a_mark_2";"c_act_2a_mark_3";"c_act_2b_0";"c_act_2b_1";"c_act_2b_2";"c_act_2b_3";"c_act_3a_0";"c_act_3a_1";"c_act_3a_2";"c_act_3a_3";"c_act_3a_mark_0";"c_act_3a_mark_1";"c_act_3a_mark_2";"c_act_3a_mark_3";"c_act_3b_0";"c_act_3b_1";"c_act_3b_2";"c_act_3b_3"
13;2;1;;4;0;7;0;0;;;;;;;;;;;5;0;;;;;;1;;;;;5;;;;;"les  employeurs  d'un  employeur,  le  BTP,";;;;;2;;;;;2;;;;;"marché  aux  esclaves";;;;;1;;;;;"des  étrangers,  des  étrangers  esclaves";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2;1;;4;0;2;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;1;;;;;"ces  gens  là";;;;;2;;;;;99;;;;;;;;;;3;;;;;"en  Europe.";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2;1;;4;0;4;0;0;;;;;;;;;;;9;0;;;;;;2;1;;;;217;1;;;;"On  à  l'échelle  européenne,  on";"des  millions,  d'Africains.";;;;2;2;;;;2;7;;;;;"grand  remplacement";;;;3;3;;;;;"les  vieux";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;219;;;;;"la  Gôche";;;;;2;;;;;99;;;;;;;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;1;;4;0;7;0;1;3;"il  suffit  de  couper  les  subsides  à  ceux  qui  refusent  de  travailler.";;;217;"d'allocations.  France,";2;3;"chômeurs  ceux  qui  refusent  de  travailler.";2;4;0;;;;;;1;;;;;3;;;;;"(millions  de  chômeurs  ceux  qui  refusent  de  travailler.  milliers";;;;;2;;;;;5;;;;;"chômeurs  couper  les  subsides";;;;;3;;;;;"En  France,";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"il  suffit  de  couper  les  subsides  à  ceux  qui  refusent  de  travailler.";;;;;;;;;;;;217;;;;"d'allocations.  France,";;;;2;;;;3;;;;"chômeurs  ceux  qui  refusent  de  travailler.";;;;2;;;
18;2;1;;0;1;99;0;0;;;;;;;;;;;0;0;;;;;;99;;;;;99;;;;;;;;;;99;;;;;99;;;;;;;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2;1;;4;0;7;0;0;;;;;;;;;;;4;0;;;;;;1;;;;;3;;;;;"France:  millions  de  chômeurs.  Ceux-ci  qu'en";;;;;2;;;;;5;;;;;"chômeurs.  l'assistanat";;;;;3;;;;;"France:  nous  qu'en";;;;;0;;;;;0;;;;;1;;;;1;;;;"Les  immigrés";;;;2;;;;1;;;;"travaillent  mieux  que  les  ""français"",";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2;1;;4;0;7;0;0;;;;;;;;;;;10;0;;;;;;1;1;;;;2;1;;;;"européistes  bienpensants";"transgresseurs  de  frontières";;;;2;2;;;;2;7;;;;"européistes  bienpensants  régularisent  sans  aucun  problème.";"des  transgresseurs  de  frontières";;;;3;3;;;;;"en  Europe.";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;99;;;;;99;;;;;;;;;;99;;;;;99;;;;;;;;;;99;;;;;;;;;;0;;;;;0;;;;;1;;;;225;;;;"Salvini";;;;1;;;;99;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2;1;;4;0;7;0;0;;;;;;;;;;;0;0;;;;;;2;;;;;225;;;;;"Italie  qu'ils";;;;;2;;;;;3;;;;;"qu'ils  croient  qu'ils  vont  les  mettre  au  boulot";;;;;99;;;;;;;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;225;;;;;"leur  qu'en  France  qui  sont  au  pouvoir.  les  mêmes";;;;;2;;;;;2;;;;;"leur  manoeuvre  pour  évincer  Salvini,";;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;216;;;;"RN";;;;2;;;;99;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2;1;;4;0;3;0;1;3;"virer  hors  du  pays";;;217;"Il";2;1;"population  de  parasites.";2;5;0;;;;;;1;1;;;;223;1;;;;"La  justice";"les  voyous.  cette  population  de  parasites.  racaille,  les  clandestins,";;;;2;2;;;;1;7;;;;"La  justice  n'est  lente  que  pour  la  racaille,";"virer  hors  du  pays  toute  cette  population  de  parasites.";;;;3;3;;;;;"les  patriotes,  les  Français.";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"virer  hors  du  pays";;;;;;;;;;;;217;;;;"Il";;;;2;;;;1;;;;"population  de  parasites.";;;;2;;;
27;2;1;;4;0;8;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;3;;;;;"La  Bretagne  ses  habitants";;;;;2;;;;;30;;;;;"vote  massivement  à  gauche";;;;;3;;;;;"La  Bretagne  ses  habitants";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2;1;;4;0;3;0;1;3;"fermer  les  frontières...  les  virer";;;217;"fermer  les  frontières...  les  juger";2;1;"les  les";2;0;0;;;;;;1;;;;;1;;;;;"les  les";;;;;2;;;;;7;;;;;"fermer  les  frontières...  les  virer";;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"fermer  les  frontières...  les  virer";;;;;;;;;;;;217;;;;"fermer  les  frontières...  les  juger";;;;2;;;;1;;;;"les  les";;;;2;;;
29;2;1;;4;0;2;1;0;;;;;;;;;;;0;0;;;;;;1;1;1;;;217;1;3;;;"Monarc  1er";"immigration  invasive  et  sauvage.  l'immigration  clandestine  sans  retenue.  La  racaille";"la  société";;;1;2;2;;;1;7;99;;;"se  casser  les  dents  en  2022.  délinquance  exponentielle";"immigration  invasive  l'immigration  sans  retenue.";;;;3;3;3;;;;;"la  société";;;0;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2;1;;4;0;7;0;0;;;;;;;;;;;0;0;;;;;;2;2;;;;1;217;;;;"les  clandestins";"le  territoire";;;;2;2;;;;5;5;;;;;"au  bout  de  5  ans  il  perçoivent  toutes  les  allocations.";;;;3;3;;;;;"le  territoire  sur";;;;1;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2;1;;4;1;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2;1;;4;0;2;0;0;;;;;;;;;;;0;0;;;;;;1;1;;;;1;217;;;;"cette  lame";"macronavirus";;;;2;1;;;;4;99;;;;"lame  dangereuse";;;;;3;3;;;;;"nous";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2;1;;4;0;8;1;0;;;;;;;;;;;0;0;;;;;;1;;;;;217;;;;;"Pauvre  France";;;;;2;;;;;99;;;;;;;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2;1;;4;0;1;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;1;;;;;"tsunami  de  migrants";;;;;2;;;;;7;;;;;"tsunami";;;;;3;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2;1;;4;0;8;0;0;;;;;;;;;;;0;0;;;;;;1;1;;;;223;1;;;;"on";"affolés  de  la  braguette  jeunes  gars  individus";;;;2;2;;;;2;99;;;;"on  a  rétabli  officiellement  les  maisons  closes";;;;;99;99;;;;;;;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2;1;;4;1;2;0;0;;;;;;;;;;;0;0;;;;;;1;1;;;;1;223;;;;"migrants  délinquants  non-intégrables  'vaches  sacrées'";"l'europe  se  met  à  genoux";;;;2;2;;;;6;3;;;;"non-intégrables";"l'europe  se  met  à  genoux  humanisme  bidon  et  toxique.";;;;3;3;;;;;"l'europe  notre  humanisme  nos  pays  de  chrétiens  blancs.";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2;1;;4;0;4;0;0;;;;;;;;;;;4;0;;;;;;1;;;;;217;;;;;"la  France  la  loi";;;;;2;;;;;5;;;;;"chômeurs  des  allocs,  cartes  sécu,  la  France  ne  peut  plus  payer";;;;;3;;;;;"deux  millions  de  nouveaux  chômeurs  eux  les  nouveaux  pauvres  les  patriotes";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2;1;;4;1;99;0;0;;;;;;;;;;;1;0;;;;;;1;;;;;217;;;;;"giton  1er  l'infâme";;;;;1;;;;;2;;;;;"baillonne";;;;;3;;;;;"français.";;;;;0;;;;;0;;;;;2;;;;3;;;;"français.  On";;;;2;;;;3;;;;"On  trouvera  un  moyen,";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;1;1;1;;;5;214;217;;;"Fogiel";"Taubira.";"les  serviles  amis  de  l'enfumeur  de  l'Elysée).";;;1;1;2;;;99;99;99;;;;;;;;99;99;99;;;;;;;;0;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2;1;;4;0;99;0;0;;;;;;;;;;;99;0;;;;;;99;;;;;99;;;;;;;;;;99;;;;;99;;;;;;;;;;99;;;;;;;;;;99;;;;;99;;;;;99;;;;99;;;;;;;;99;;;;99;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2;1;;0;1;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;99;;;;;;;;;;2;;;;;99;;;;;;;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2;1;;4;1;99;0;0;;;;;;;;;;;5;0;;;;;;1;1;;;;1;217;;;;"salauds  d'immigrés  arabes";"gouvernement  de  vendus";;;;2;2;;;;99;2;;;;;"vendus";;;;3;3;;;;;"la  France  citoyens  français";;;;0;0;;;;1;0;;;;99;;;;3;;;;"citoyens  français";;;;2;;;;99;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2;1;;4;1;99;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;5;;;;;"Pierre  Bergé";;;;;1;;;;;30;;;;;"GPA.";;;;;3;;;;;"qu'une  femme";;;;;0;;;;;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;2;;;;;217;;;;;;;;;;2;;;;;99;;;;;;;;;;3;;;;;;;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2;1;;4;1;99;0;0;;;;;;;;;;;9;0;;;;;;1;;;;;1;;;;;"arabo-envahisseuse";;;;;2;;;;;7;;;;;"arabo-envahisseuse";;;;;3;;;;;"nous  un  pays  chrétien";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2;1;;4;0;99;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;99;;;;;;;;;;2;;;;;6;;;;;"l’enfant  n’a-t-il  pas  le  droit  à  un  père  et  une  mère  ?";;;;;3;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2;1;;4;1;99;0;0;;;;;;;;;;;9;0;;;;;;1;2;;;;1;217;;;;"naissance  arabo-sournoise  envahisseuse";"refuser  un  agrément";;;;2;2;;;;7;2;;;;"envahisseuse";"cinglant";;;;3;3;;;;;"confession  chrétienne";;;;0;0;;;;0;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2;1;;0;1;99;1;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2;1;;0;1;99;0;0;;;;;;;;;;;0;0;;;;;;2;;;;;217;;;;;"commission  aux  affaires  sociales  subventions";;;;;2;;;;;2;;;;;"ça  rapporte  ""rémunérations""";;;;;3;;;;;;;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2;1;;4;1;99;0;0;;;;;;;;;;;9;0;;;;;;1;2;;;;1;217;;;;"naissance  arabo-sournoise  envahisseuse";"nous  nous  sommes  vus  refuser  un  agrément";;;;2;2;;;;7;2;;;;"envahisseuse";"cinglant  balayer  devant  leurs  portes";;;;3;3;;;;;;;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;2;1;;0;1;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2;1;;4;0;99;1;0;;;;;;;;;;;0;0;;;;;;1;;;;;225;;;;;"commerce  dégeulasse.....  fermeture  des  frontières.";;;;;2;;;;;30;;;;;"commerce  dégeulasse.....  hors  la  loi  en  France!!!";;;;;99;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
