id;content;user_id;date;article_id;direct_parent_id;internal_id;outlet;outlet2;type;type2;length;words;no_thread;no_replies
17;> Sog. Schwarzarbeiter Man sollte nicht vergessen, das hinter jedem Schwarzarbeiter auch ein Schwarzarbeitgeber steht - manchmal ein mieser Ausbeuter, aber oft ein ganz normaler bürgerlicher Mensch, der sich irgendwie einredet, dass es in seinem speziellen Fall irgendwie anders ist. ;user_390;;r1_1_article_29;r1_1_comment_7625;r1_1_comment_7637;zeit;2;reply;3;286;40;22;15
18;Ob das Eigenheim billiger wird mit Schwarzarbeit, ist durchaus nicht klar. Vielleicht wird einfach nur die Profitspanne des Bauunternehmens geringer. ;user_2622;;r1_1_article_29;r1_1_comment_7630;r1_1_comment_7638;zeit;2;reply;3;150;20;22;16
19;"""Das was Sie beschreiben ist erlaubt (sein Geld wirtschaftlich verwenden). Das was im Artikel beschrieben ist, ist nicht erlaubt (Einkommen nicht versteuern). Beides zu vermengen ist Blödsinn."" Ohne anteilige Schwarzarbeit am Bau könnte sich so mancher die resultierenden Preise von Eigenheimen gar nicht leisten. ";user_1623;;r1_1_article_29;r1_1_comment_7628;r1_1_comment_7639;zeit;2;reply;3;314;44;22;17
20;"""Schwarzarbeit ist Steuerhinterziehung. "" Abgabenhinterziehung, um es korrekt auszudrücken. Begangen primär vom AuftragGEBER. ";user_1623;;r1_1_article_29;r1_1_comment_7636;r1_1_comment_7640;zeit;2;reply;3;126;13;22;18
21;"""Vielleicht wird einfach nur die Profitspanne des Bauunternehmens geringer."" Höher, guter Mann. Und der Endpreis konkurrenzfähiger. ";user_1623;;r1_1_article_29;r1_1_comment_7638;r1_1_comment_7641;zeit;2;reply;3;132;16;22;19
22;Hmm... Da frage ich mich warum Bildung für Sie keine Lösung ist? ;user_970;;r1_1_article_29;r1_1_comment_7631;r1_1_comment_7642;zeit;2;reply;3;65;12;22;20
23;Das ist kein Blödsinn, das nennt man Kausalität. ;user_2444;;r1_1_article_29;r1_1_comment_7628;r1_1_comment_7643;zeit;2;reply;3;49;8;22;21
24;Sie rechtfertigen auch eine dummheit durch die andere, oder soll ich sagen ein Verbrechen gegen ein anderes? ;user_2444;;r1_1_article_29;r1_1_comment_7631;r1_1_comment_7644;zeit;2;reply;3;109;17;22;22
25;Quatsch, der Artikel belegt doch mit relativ eindeutigen Zahlen, dass dieser von Ihnen präferierte Anteil, der geringste ist. Einfach nochmal lesen. ;user_2444;;r1_1_article_29;r1_1_comment_7635;r1_1_comment_7645;zeit;2;reply;3;149;21;22;23
26;Ich glaube da verwechseln sie was. Nicht ich gebe den Baufirmen einen Preis vor, den zu erreichen nur unter Einsatz von Schwarzarbeitern möglich ist, sondern die Baufirmen machen mir ein Angebot das ich mir entweder leisten und annehmen kann, oder eben nicht... ;user_803;;r1_1_article_29;r1_1_comment_7630;r1_1_comment_7646;zeit;2;reply;3;262;42;22;24
27;Ich wollte mal eine Reinigungskraft zu Hause legal beschäftigen (allerdings in D). Den Verwaltungsaufwand den ich mir damit ans Bein gebunden habe werde ich nicht noch mal machen. Seitdem mache ich keiner Person mehr einen Vorwurf, die diesem Verwaltungsaufwand aus dem Weg gehen will (oder muss, um überhaupt den Job zu bekommen). Ich meine es ist Aufgabe des Gesetzgebers, legales Arbeiten attraktiver als Schwarzarbeit zu machen. ;user_979;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7647;zeit;2;reply;3;433;66;22;25
28;Aber wenn man konsequent ist ? Man hat doch auch den Bankern und Immobilienswapbetrügern geholfen ! ;user_1236;;r1_1_article_29;r1_1_comment_7623;r1_1_comment_7648;zeit;2;reply;3;100;16;22;26
29;Die Reinigungskraft anzumelden dauert keine 10 Minuten. Die Kosten lassen sich als haushaltsnahe Dienstleistungen absetzen ! ;user_1236;;r1_1_article_29;r1_1_comment_7647;r1_1_comment_7649;zeit;2;reply;3;125;16;22;27
30;Das nennt man Entwicklung. ;user_918;;r1_1_article_29;r1_1_comment_7644;r1_1_comment_7650;zeit;2;reply;3;27;4;22;28
31;Entfernt. Bitte bleiben Sie beim Thema. Danke, die Redaktion/ts ;user_231;;r1_1_article_29;r1_1_article_29;r1_1_comment_7651;zeit;2;comment;2;64;9;21;
32;Der Kommentar, auf den Sie Bezug nehmen, wurde bereits entfernt. ;user_3857;;r1_1_article_29;r1_1_comment_7651;r1_1_comment_7652;zeit;2;reply;3;65;10;21;1
33;Für mich ist es mit der Schwarzarbeit ähnlich wie mit Steuerhinterziehung bei unternehmen. Wer sich selbst (aus welchen Gründen auch immer) mit entsolidarisiert, sollte in der Kriese nicht jammern, wenn er nicht von der Solidargemeinschaft getragen wird. ;user_1045;;r1_1_article_29;r1_1_article_29;r1_1_comment_7653;zeit;2;comment;2;255;37;20;
34;"""Für mich ist es mit der Schwarzarbeit ähnlich wie mit Steuerhinterziehung bei unternehmen."" Ironie on: Ihre Bezeichnung ""Schwarzarbeit"" ist in höchstem Maße diskriminierend und menschenverachtend! Artikel nicht gelesen? Da steht es doch drin: ""undokumentierte Arbeiter""! Diese von Ihnen so boshaft Diskriminierten leisten wichtige Tätigkeiten welche wir (Sie) gemeinen unbarmherzigen Unterstützungsverweigerer nicht leisten wollen. Schämen Sie sich! Ironie off Ich dachte beim ersten Lesen, der Artikel sei vom 1. April. ""undokumentierte Arbeiter"" - wie geil ist das denn. + 12 Weitere Antworten anzeigen ";user_804;;r1_1_article_29;r1_1_comment_7653;r1_1_comment_7654;zeit;2;reply;3;606;82;20;1
35;Tanja Gönner-Schwarzarbeit wird kaum vom Zollamt verfolgt.Ich selbst habe für 6 Euro Stundenlohn gearbeitet(Brutto).Der Chef hat mich auf 400 angemeldet.Bin zum Zollamt gegangen und mich und ihn angezeigt.Getan hat sich nichts.Mir sind Fälle bekannt,wo Bulgaren 7 Tage die Woche arbeiten von 8 Uhr morgens bis 22 Uhr abends.30 Tage im Monat für 1200Euro.Ohne Urlaub.Ohne krank sein zu dürfen.Das sind monatlich 420 Stunden.Wenn Sie auf Autobahnen zur Toillette gehen,dann fragen Sie die bulgarische Frau oder Mann ,die diese Toilletten Putzen,was sie so verdienen und wieviel sie so arbeiten.Aber hauptsache Sie haben Ihre saubere Toillette.Da hört auch schon Ihre Solidarität auf. ;user_668;;r1_1_article_29;r1_1_comment_7653;r1_1_comment_7655;zeit;2;reply;3;682;99;20;2
36;"Oh ja, wie konnte ich, dann aber bitte ""undokumentierte ArbeiterInnen"" *rolleyes* ;) Vielleicht ist's einfacher generell von Steuerbetrügern zu reden, egal ob man steuern hinterzieht, die Arbeit nicht sauber anmeldet, oder den Firmensitz formal nach Holland verlegt um in Deutschland keine Steuern zu zahlen. ";user_1045;;r1_1_article_29;r1_1_comment_7654;r1_1_comment_7656;zeit;2;reply;3;309;44;20;3
37;"Wieso sollte man mit einem Steuerhinterzieher ""Solidarität"" zeigen? Herr oder Frau X können in ihrem Heimatland regulär arbeiten. Oder sie beantragen ein Arbeitsvisum für ein anderes Land. Wenn das nicht genehmigt wird, bleiben sie in ihrem Heimatland. ";user_3503;;r1_1_article_29;r1_1_comment_7655;r1_1_comment_7657;zeit;2;reply;3;253;37;20;4
38;""" ""Schwarzarbeit"" ist in höchstem Maße diskriminierend und menschenverachtend! "" Das stimmt. Politisch korrekt wäre 'Work of colour'. ";user_3430;;r1_1_article_29;r1_1_comment_7654;r1_1_comment_7658;zeit;2;reply;3;134;18;20;5
39;"""Vielleicht ist's einfacher generell von Steuerbetrügern zu reden, egal ob man steuern hinterzieht,.."" Bei dieser ganzen Diskussion wird offenbar vernachlässigt, dass derjenige, welcher Schwarzarbeiter einstellt, derjenige ist, welcher die Verantwortung trägt und sich die Abgaben erspart bzw. hinterzieht. ";user_1623;;r1_1_article_29;r1_1_comment_7656;r1_1_comment_7659;zeit;2;reply;3;307;38;20;6
40;>>Bei dieser ganzen Diskussion wird offenbar vernachlässigt, dass derjenige, welcher Schwarzarbeiter einstellt, derjenige ist, welcher die Verantwortung trägt und sich die Abgaben erspart bzw. hinterzieht.<< Nein, zu diesem Betrug gehören beide. ;user_1045;;r1_1_article_29;r1_1_comment_7659;r1_1_comment_7660;zeit;2;reply;3;246;31;20;7
41;"""Nein, zu diesem Betrug gehören beide."" Na dann beobachten Sie mal die Folgen der nächsten Razzia auf einer Baustelle oder schauen sich Akten von vergangenen einschlägigen Prozessen an. Was glauben Sie, wer da wegen Abgabenhinterziehung bestraft wird? Der Bauherr, der die Leute auf diese Art beschäftigt oder die nicht angemeldeten Arbeiter? ";user_1623;;r1_1_article_29;r1_1_comment_7660;r1_1_comment_7661;zeit;2;reply;3;343;51;20;8
42;"Nein, der eine nötigt, der andere wird genötigt, und mancher hat es nötig. Es wird vergessen, dss diese Schwarzarbeit, deshalb weniger verfolgt wird, weil da jede Menge legale Arbeitsplätze der Industrie, der Dienstleister und des Handels dranhängen. Die Lobby der Baustoffhändler wäre doch blöde, wenn sie die Schwarzarbeit auf dem Bau bekämpdfen würde, im Gegenteil, mittels Beratung etc. wird diese auch noch gefördert. Hunderttausende alte Menschen würden in wetseuropa elendig dahinsiechen, gäbe es die Undokumentierten nicht. denn offiziele Löhne, seinen sie noch so billig sind nicht zu stemmen. Zumindest bei den Armutsrentnern in D, in Ö gibt es die ja nicht? Diese Medaille hat zwei Seiten. vergessen wird immer die des Wettbewerbs, den die ""erfolgreichen"" preisen. Aber Wettbewerb ist ohne Verlierer nicht zu stemmen. Und es gibt immer mehr verlierer als gewinner. Das gilt für Volswirtschaften ebenso wie für den einzelnen Menschen. Dass dazu ganze Gesellschaftssyteme und jeder einzelne seinen ureignen Anteil hat, ist doch logisch. Und für mich hat es schon einen Unterschied ob der Beamte sich einen Schwarzarbeiter hält, dabei selbst noch schwarz arbeitet oder ob eine Alleinerziehende Mutter oder ein sonst rechtloser Mensch sich über Wasser hält. Alles dazwischen ist je nach Details einmal mehr oder weniger davon. Mich würde einmal interessieren, wenn wir von 3 Milliarden Staatsquoten""verlust"" sprechen, wieviel Quotenbeitrag Schwarzarbeit generiert. ";user_2444;;r1_1_article_29;r1_1_comment_7660;r1_1_comment_7662;zeit;2;reply;3;1472;216;20;9
43;"""Mich würde einmal interessieren, wenn wir von 3 Milliarden Staatsquoten""verlust"" sprechen, wieviel Quotenbeitrag Schwarzarbeit generiert."" Ich behaupte mal, dass beim aprupten Wegfall sämtlicher schwarz Beschäftigten die Baubranche zusammenbricht und in weiterer Folge sämtliche Bauprojekte, vom Autobahnkilometer bis zu sozialen Wohnbau saftig teurer bis hin zu unleistbar wird. Man sollte auch nicht vergessen, dass große Teile des ""Wirtschaftswunders"" (als Basis des heutigen, mittlerweile ungleich verteilten, Eohlstandes, samt putzigen Einfamilienhäuschen auf weiten Strecken durch ""Schwarzbeit"" geschaffen worden sind. ";user_805;;r1_1_article_29;r1_1_comment_7662;r1_1_comment_7663;zeit;2;reply;3;626;76;20;10
44;Sie haben wohl nicht Unrecht. ;user_2444;;r1_1_article_29;r1_1_comment_7663;r1_1_comment_7664;zeit;2;reply;3;30;5;20;11
45;Keinesfalls. Beide tragen die Verantwortung. Als Schwarzarbeiter werden nur solche bezeichnet, die selbst wissentlich Steuern und Abgaben hinterziehen. Tut es nur der Arbeitgeber, der dem Arbeitnehmer gleichwohl SV-Beiträge und Steuern abzieht, diese aber nicht an das Finanzamt bzw. die Einzugsstellen weiterleitet, liegt keine Schwarzarbeit vor. Solche AN wären auch Opfer, Schwarzarbeiter sind Täter. ;user_203;;r1_1_article_29;r1_1_comment_7659;r1_1_comment_7665;zeit;2;reply;3;404;53;20;12
46;Dazu passend das hier EU L<U+FFFD>nder Steueroasen betreiben um den EU-L<U+FFFD>ndern Geld zu entziehen. Aber am besten mal diesen Artikel lesen. https://www.heise.de/tp/feat<U+FFFD> ;user_1954;;r1_1_article_29;r1_1_comment_7653;r1_1_comment_7666;zeit;2;reply;3;162;22;20;13
47;"Verstehe ich das richtig, das ""Pfuschen"" bei unseren südlichen Nachbarn ein Synonym für Schwarzarbeiten ist? ";user_798;;r1_1_article_29;r1_1_article_29;r1_1_comment_7667;zeit;2;comment;2;109;15;19;
48;Wiki macht schlauer: Pfusch steht f<U+FFFD>r: mangelhaft ausgef<U+FFFD>hrte Arbeit, siehe Murks regionale Bezeichnung (<U+FFFD>sterreich, DDR) f<U+FFFD>r Schwarzarbeit https://de.wikipedia.org/wik<U+FFFD> + 5 Weitere Antworten anzeigen ;user_798;;r1_1_article_29;r1_1_comment_7667;r1_1_comment_7668;zeit;2;reply;3;201;23;19;1
49;Pfuschen hat eigentlich zwei Bedeutung in Österreich: 1. Pfuschen (als Verb) als Schwarzarbeit 2. Pfusch (als Substantiv) als mangelhaft ausgeführte Arbeit, etwa beim Hausbau ;user_630;;r1_1_article_29;r1_1_comment_7667;r1_1_comment_7669;zeit;2;reply;3;177;24;19;2
50;Martin aus Wien bringt es auf den Punkt, Wiktionary auch: https://de.wiktionary.org/wi<U+FFFD> In Bayern kennt man, wie in <U+FFFD>sterreich, beide Bedeutungen. ;user_679;;r1_1_article_29;r1_1_comment_7669;r1_1_comment_7670;zeit;2;reply;3;147;20;19;3
51;Es klingt einfach besser. Vergleichen Sie: 1. Nein, ich habe heute keine Zeit, weil ich schwararbeiten gehen werde. Oder 2. Heast, i hob ka Zäät, i bi beim pfuusch'n. Na? ;user_350;;r1_1_article_29;r1_1_comment_7667;r1_1_comment_7671;zeit;2;reply;3;171;30;19;4
52;Nicht ganz. Man kann sowohl Substantiv als auch Verb bei beiden Bedeutungen verwenden. Martin aus Wien hat nur eine sehr lokale Deutung zum Besten gegeben. ;user_801;;r1_1_article_29;r1_1_comment_7670;r1_1_comment_7672;zeit;2;reply;3;156;25;19;5
53;Pfuscher pfuschen Pfusch. ;user_2444;;r1_1_article_29;r1_1_comment_7669;r1_1_comment_7673;zeit;2;reply;3;26;3;19;6
54;Das (staatliche) Hilfsnetz wird durch reguläre Abgaben und Steuern gewebt und gestrickt. Wer durch irreguläre Arbeit sich nicht am Weben und Stricken des Netzes beteiligt, für den passt das Netz ja irgendwie nicht, oder? ;user_630;;r1_1_article_29;r1_1_article_29;r1_1_comment_7674;zeit;2;comment;2;221;34;18;
55;Ich verweise auf #3.9 ;user_2444;;r1_1_article_29;r1_1_comment_7674;r1_1_comment_7675;zeit;2;reply;3;22;4;18;1
56;Ja, wenn der Fiskus halt meint, mit 19% zulangen zu müssen, mag es schon sein, dass der ein oder andere überlegt, ob etwas billiger ginge. Vermutlich würde der Staat in dieser Hinsicht mehr verdienen, wenn er die Abgabenlast (und seine Ausgaben) senken würde... ;user_776;;r1_1_article_29;r1_1_article_29;r1_1_comment_7676;zeit;2;comment;2;262;43;17;
57;"""Vermutlich würde der Staat in dieser Hinsicht mehr verdienen, wenn er die Abgabenlast (und seine Ausgaben) senken würde"" Erstaunlich, das da noch keiner drauf gekommen ist. Wobei, das Beispiel war ja aus Österreich, dort gelten sogar 20%. In D wurde die Mehrwertsteuer von Frau Merkel und der SPD eingeführt. Vor der Bundestagswahl 2005 sprach sich die Union für eine Anhebung der Mehrwertsteuer von 16 auf 18 Prozent aus, die SPD ätzte gegen die Merkel-Steuer und lehnte die Anhebung als ""unsozial"" ab. Ihr ""Kompromiss"": Anfang 2007 steigt die Mehrwertsteuer auf 19 Prozent. Davor war die Steuer in mehreren Schritten bereits mehrfach erhöht worden. Wahrscheinlich war mit jeder neuen Erhöhung weniger Geld da (wenn Ihre Logik greift), daher wurden weitere Erhöhungen notwendig. . + 5 Weitere Antworten anzeigen ";user_798;;r1_1_article_29;r1_1_comment_7676;r1_1_comment_7677;zeit;2;reply;3;816;126;17;1
58;"""Wahrscheinlich war mit jeder neuen Erhöhung weniger Geld da (wenn Ihre Logik greift), daher wurden weitere Erhöhungen notwendig. "" So komisch das jetzt klingen mag: Die Menge, die am Fiskus vorbeigeschmuggelt wurde, dürfte sich tatsächlich deutlich erhöht haben und so ein gewisses Gegengewicht begründet haben. 19% ist halt bei manchen Sachen schlicht krass. ";user_776;;r1_1_article_29;r1_1_comment_7677;r1_1_comment_7678;zeit;2;reply;3;361;53;17;2
59;Ein Schwarzarbeiter hinterzieht nicht nur Steuern, sondern ggf. auf Sozialabgaben. In Deutschland tobt gerade ein Streit über die Grundrente. Da dürfte auch mancher zu den zukünftigen Nutznießern gehören, der sich früher lieber die Sozialabgaben sparte und lieber Brutto für Netto verdiente. ;user_3654;;r1_1_article_29;r1_1_comment_7676;r1_1_comment_7679;zeit;2;reply;3;294;41;17;3
60;Aber sicher - denn der sagt ja seinem Kundenkreis nicht auf einmal ab, nur weil er von woanders her nochmal bekommt. ;user_776;;r1_1_article_29;r1_1_comment_7679;r1_1_comment_7680;zeit;2;reply;3;117;21;17;4
61;Und der eigentliche Witz ist ja, dass Nicht EU-Ausländer sich die Steuer an der Grenze wieder holen können. Aus meiner Sicht sollte die UST auf die Länderebene so wie es auch in anderen Länder ist. z.B. USA. Dann hört das auch auf, dass die Schweizer bei uns Netto einkaufen können. ;user_806;;r1_1_article_29;r1_1_comment_7678;r1_1_comment_7681;zeit;2;reply;3;283;50;17;5
62;Aber unter bestimmten Voraussetzungen kann man dafür Handwerkerrechnungen bei der Einkommensteuer geltend machen. Dafür muss man allerdings eine haben, das fördert die Steuerehrlichkeit. ;user_2622;;r1_1_article_29;r1_1_comment_7676;r1_1_comment_7682;zeit;2;reply;3;187;23;17;6
63;"""Picum, eine internationale Nichtregierungsorganisation, die sich für die Rechte undokumentierter Migranten in Europa einsetzt"" Wieder was dazu gelernt: Illegal eingewanderte Schwarzarbeiter sind jetzt also ""undokumentierte Migranten"". Hört sich auch viel besser an. ";user_3739;;r1_1_article_29;r1_1_article_29;r1_1_comment_7683;zeit;2;comment;2;267;32;16;
64;Gibt es das Wort Schwarzarbeit in der Steuergesetzgebung? Nenen Sie Steuerzahler Steuerzahler oder Weisarbeiter? + 1 Weitere Antworten anzeigen ;user_2444;;r1_1_article_29;r1_1_comment_7683;r1_1_comment_7684;zeit;2;reply;3;144;19;16;1
65;"""Undokumentierte Migranten"" gibt es in der Steuergesetzgebung allerdings auch nicht. Dieser Euphemismus verschiebt ja auch schöne die Verantwortlichkeit. ""Undokumentiert"", da hat jetzt also der Schuld, der nicht dokumentiert hat, nicht etwa derjenige, der sich jeder Dokumentierung entzieht. Ich bleibe bei ""Schwarzarbeitern"", gern auch beschrieben mit dem Adjektiv ""kriminell"". ";user_203;;r1_1_article_29;r1_1_comment_7684;r1_1_comment_7685;zeit;2;reply;3;379;48;16;2
66;Das ist der Preis für Schwarzarbeit. Was soll dieser Artikel?? ;user_109;;r1_1_article_29;r1_1_article_29;r1_1_comment_7686;zeit;2;comment;2;63;10;15;
67;Der Artikel soll Ihnen ein schlechtes Gewissen machen. Denn nicht die Schwarzarbeiter sind schuld an der Misere, sondern Sie und ich, weil äh, nun, also, gewissermaßen, ähm .... ;user_3430;;r1_1_article_29;r1_1_comment_7686;r1_1_comment_7687;zeit;2;reply;3;178;28;15;1
68;"Jetzt müssten wir ja bald alle durch haben. Ne es fehlt noch der ""steueroptimierer ""der wegen der geschlossenen Grenzen seine Koffer nicht mehr in die Schweiz bekommt. Der Herr war jahrelang so pfiffig sich dem Fiskus quer durch Europa zu entziehen ,dem fällt bestimmt was ein . ";user_2595;;r1_1_article_29;r1_1_article_29;r1_1_comment_7688;zeit;2;comment;2;279;47;14;
69;Na, ich weiß ja nicht, ob in Österreich die Firmen, welche Schwarzarbeiter beschäftigt haben, nicht auch noch Staatsknete abgezockt haben... Wenn man das in Deutschland das anfänglich eher leichtsinniges Förder-Gebahren betrachtet, hätten solche Unternehmen in Deutschland bestimmt leichtes Spiel gehabt! Aber alles gut, sind nur Steuergelder und zu sehr darf man ja auch nicht prüfen, muss ja schnell gehen, die stehen alle vor der Pleite! ;user_573;;r1_1_article_29;r1_1_article_29;r1_1_comment_7689;zeit;2;comment;2;441;65;13;
70;"""Keine Kurzarbeit, kein Arbeitslosengeld, keine Versicherung: Schwarzarbeitern wird in der Corona-Krise nicht geholfen. "" Im Grunde wäre es doch eigentlich die solidarische Aufgabe derjenigen, die die Schwarzarbeiter beschäftigt haben und von deren"" günstigen"" Dienstleistungen profitierten, ihnen in dieser Notlage weiter zu helfen. Dass Sozialversicherungssystem einzuspannen, dass ja sowohl der Schwarzarbeiter wie der Schwarzarbeitgeber bewusst umgehen - welch fernliegender Gedanke. ";user_807;;r1_1_article_29;r1_1_article_29;r1_1_comment_7690;zeit;2;comment;2;488;59;12;
